web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link
"1662874765-1586","https://www.zillow.com/rodanthe-nc/sold/","24254 S Shore Dr, Kitty Hawk, NC 27982","https://www.zillow.com/homedetails/24254-S-Shore-Dr-Kitty-Hawk-NC-27982/247062607_zpid/","1996","0.44 Acres","Property detailsPropertyPrivate pool: YesExterior features: OtherLotLot size: 0.44 AcresOther property informationParcel number: 014227010","7","7","3,758","03/25/2022","24254 S Shore Dr, Kitty Hawk, NC 27982","$990,000","$990,000"
"1662874775-1587","https://www.zillow.com/rodanthe-nc/sold/","23161 Corbina Dr W, Waves, NC 27982","https://www.zillow.com/homedetails/23161-Corbina-Dr-W-Waves-NC-27982/308901715_zpid/","1991","0.77 Acres","Property detailsPropertyPrivate pool: YesExterior features: OtherLotLot size: 0.77 AcresOther property informationParcel number: 011485000","4","3.5","2,952","06/01/2021","23161 Corbina Dr W, Waves, NC 27982","$799,000","$799,000"
"1662874785-1588","https://www.zillow.com/rodanthe-nc/sold/","24222 Dean Ave, Waves, NC 27982","https://www.zillow.com/homedetails/24222-Dean-Ave-Waves-NC-27982/243986984_zpid/","1972","10,000 sqft","Property detailsPropertyExterior features: OtherLotLot size: 10,000 sqftOther property informationParcel number: 012654000","3","3","1,304","12/01/2020","24222 Dean Ave, Waves, NC 27982","$307,000","$307,000"
"1662874794-1589","https://www.zillow.com/rodanthe-nc/sold/","24197 Ocean Dr S, Waves, NC 27982","https://www.zillow.com/homedetails/24197-Ocean-Dr-S-Waves-NC-27982/228617428_zpid/","2003","10,500 sqft","Property detailsPropertyExterior features: OtherLotLot size: 10,500 sqftOther property informationParcel number: 012748000","4","4","2,110","09/16/2020","24197 Ocean Dr S, Waves, NC 27982","$450,000","$450,000"
"1662874804-1590","https://www.zillow.com/rodanthe-nc/sold/","24250 Dean Avenue, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24250-Dean-Ave-Rodanthe-NC-27968/2142500609_zpid/","1999","No Data","Property detailsParkingParking features: Concrete, Attached CarportPropertySpa included: YesSpa features: HeatedFencing: PartialOther property informationSpecial conditions: Standard","4","","1,152","09/11/2020","24250 Dean Avenue, Rodanthe, NC 27968","$315,000","$315,000"
"1662874814-1591","https://www.zillow.com/rodanthe-nc/sold/","24231 S Shore Dr LOT 2, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24231-S-Shore-Dr-LOT-2-Rodanthe-NC-27968/2076500969_zpid/","","","","","","","11/12/2021","24231 S Shore Dr LOT 2, Rodanthe, NC 27968","$600,000","$600,000"
"1662874824-1592","https://www.zillow.com/rodanthe-nc/sold/","24056 State Highway 12, Waves, NC 27982","https://www.zillow.com/homedetails/24056-State-Highway-12-Waves-NC-27982/86651028_zpid/","1998","0.68 Acres","Property detailsPropertyExterior features: OtherLotLot size: 0.68 AcresOther property informationParcel number: 012591004","5","4.5","2,668","10/08/2021","24056 State Highway 12, Waves, NC 27982","$650,000","$650,000"
"1662874835-1593","https://www.zillow.com/rodanthe-nc/sold/","24245 Atlantic Dr LOT 28, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24245-Atlantic-Dr-LOT-28-Rodanthe-NC-27968/2076056670_zpid/","","","","","","","06/05/2020","24245 Atlantic Dr LOT 28, Rodanthe, NC 27968","$580,000","$580,000"
"1662874845-1594","https://www.zillow.com/rodanthe-nc/sold/","23011 Cross Of Honor Way, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23011-Cross-Of-Honor-Way-Rodanthe-NC-27968/2098980533_zpid/","2000","0.48 Acres","Property detailsParkingParking features: Carport, Paved, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Fiberglass, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Ocean, Park Serv/Preserve, Salt Marsh, SoundWaterfront features: Semi-SoundfrontHas waterview: YesWaterview: Ocean,Salt Marsh,SoundLotLot size: 0.48 AcresLot features: Corner Lot, Cul-De-Sac, Level, LandscapedOther property informationZoning description: Res","5","4","2,365","08/23/2021","23011 Cross Of Honor Way, Rodanthe, NC 27968","$629,000","$629,000"
"1662874855-1595","https://www.zillow.com/rodanthe-nc/sold/","24253 Caribbean Way LOT 22R2, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24253-Caribbean-Way-LOT-22R2-Rodanthe-NC-27968/2076060729_zpid/","","","","","","","07/10/2020","24253 Caribbean Way LOT 22R2, Rodanthe, NC 27968","$1.38M","$1,375,000"
"1662874867-1596","https://www.zillow.com/rodanthe-nc/sold/","23166 Corbina Dr W LOT 39, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23166-Corbina-Dr-W-LOT-39-Rodanthe-NC-27968/2076053813_zpid/","","","","","","","01/05/2021","23166 Corbina Dr W LOT 39, Rodanthe, NC 27968","$77,500","$77,500"
"1662874878-1597","https://www.zillow.com/rodanthe-nc/sold/","24072 Dean Ave, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24072-Dean-Ave-Rodanthe-NC-27968/86651056_zpid/","2007","10,000 sqft","Property detailsParkingParking features: Carport, Underground, UnpavedHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Patio, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 10,000 sqftLot features: LevelOther property informationParcel number: 012628000Zoning description: Res","5","6","2,961","04/29/2021","24072 Dean Ave, Rodanthe, NC 27968","$790,000","$790,000"
"1662874887-1598","https://www.zillow.com/rodanthe-nc/sold/","24237 N Holiday Blvd LOT 70, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24237-N-Holiday-Blvd-LOT-70-Rodanthe-NC-27968/2079186156_zpid/","","","","","","10,001","08/31/2020","24237 N Holiday Blvd LOT 70, Rodanthe, NC 27968","$8,500","$8,500"
"1662874897-1599","https://www.zillow.com/rodanthe-nc/sold/","23791 E Nc Hwy #12, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23791-E-Nc-Hwy-12-Rodanthe-NC-27968/2069288616_zpid/","2020","No Data","Property detailsParkingParking features: Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NonePatio and porch details: Covered DecksWaterfront features: 2 - lots from oceanfront (3rd roLotLot features: LevelOther property informationZoning description: Res","2","2","1,045","03/14/2022","23791 E Nc Hwy #12, Rodanthe, NC 27968","$320,000","$320,000"
"1662874907-1600","https://www.zillow.com/rodanthe-nc/sold/","24213 S Holiday Blvd LOT 28, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24213-S-Holiday-Blvd-LOT-28-Rodanthe-NC-27968/2076061778_zpid/","","","","","","","06/10/2020","24213 S Holiday Blvd LOT 28, Rodanthe, NC 27968","$350,000","$350,000"
"1662874917-1601","https://www.zillow.com/rodanthe-nc/sold/","23267 Midgetts Mobile Ct, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23267-Midgetts-Mobile-Ct-Rodanthe-NC-27968/228617375_zpid/","2007","0.38 Acres","Property detailsParkingParking features: Off Street, UndergroundHas garage: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.38 AcresLot features: LevelOther property informationParcel number: 012569000Zoning description: Res","6","8","4,588","03/26/2021","23267 Midgetts Mobile Ct, Rodanthe, NC 27968","$1.00M","$1,000,000"
"1662874927-1602","https://www.zillow.com/rodanthe-nc/sold/","24240 Caribbean Way, Waves, NC 27982","https://www.zillow.com/homedetails/24240-Caribbean-Way-Waves-NC-27982/303959671_zpid/","2005","0.38 Acres","Property detailsPropertyPrivate pool: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.38 AcresOther property informationParcel number: 031180000","6","6.5","3,987","11/24/2020","24240 Caribbean Way, Waves, NC 27982","$760,000","$760,000"
"1662874937-1603","https://www.zillow.com/rodanthe-nc/sold/","23220 Surf Side Dr LOT 43, Waves, NC 27982","https://www.zillow.com/homedetails/23220-Surf-Side-Dr-LOT-43-Waves-NC-27982/2067231400_zpid/","1985","10,000 sqft","Property detailsParkingParking features: Paved, UndergroundHas garage: YesPropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Covered DecksWaterfront features: More than 5th row, Beach AccessLotLot size: 10,000 sqftLot features: LevelOther property informationZoning description: R","3","2","1,248","01/06/2021","23220 Surf Side Dr LOT 43, Waves, NC 27982","$380,100","$380,100"
