web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link
"1663000364-394","https://www.zillow.com/avon-nc/sold/","42154 Askins Creek Dr LOT 53, Avon, NC 27915","https://www.zillow.com/homedetails/42154-Askins-Creek-Dr-LOT-53-Avon-NC-27915/2112348448_zpid/","","","","","","","04/11/2022","42154 Askins Creek Dr LOT 53, Avon, NC 27915","$120,000","$120,000"
"1663000375-395","https://www.zillow.com/avon-nc/sold/","40395 Ocean Isle Loop, Avon, NC 27915","https://www.zillow.com/homedetails/40395-Ocean-Isle-Loop-Avon-NC-27915/228618886_zpid/","2003","0.42 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Custom, Heated, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.42 AcresLot size dimensions: 18500Lot features: Level, LandscapedOther property informationParcel number: 014564007Zoning description: Res","8","10","6,684","04/14/2022","40395 Ocean Isle Loop, Avon, NC 27915","$2.95M","$2,950,000"
"1663000386-396","https://www.zillow.com/avon-nc/sold/","39262 Pamlico Ct, Avon, NC 27915","https://www.zillow.com/homedetails/39262-Pamlico-Ct-Avon-NC-27915/86651744_zpid/","2001","0.37 Acres","Property detailsParkingParking features: Carport, Paved, Underground, UnpavedHas garage: YesCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Concrete, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Sun DeckView description: Ocean, Park Serv/Preserve, SoundWaterfront features: Ocean Front, Beach Front, Beach AccessFrontage length: Waterfront: 56,Roadfront: 45Has waterview: YesWaterview: Ocean,SoundLotLot size: 0.37 AcresLot size dimensions: 45  x  289Other property informationParcel number: 013381000Zoning description: R-1","7","7","3,980","10/06/2021","39262 Pamlico Ct, Avon, NC 27915","$1.68M","$1,675,000"
"1663000397-397","https://www.zillow.com/avon-nc/sold/","41636 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41636-Ocean-View-Dr-Avon-NC-27915/86668927_zpid/","2003","0.38 Acres","Property detailsParkingTotal spaces: 1Parking features: 1 Car, Paved, UndergroundGarage spaces: 1Covered spaces: 1AccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Ocean, PondWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachHas waterview: YesWaterview: Ocean,PondLotLot size: 0.38 AcresLot features: Corner Lot, LevelOther property informationParcel number: 029596037Zoning description: Res","6","8","4,263","05/16/2022","41636 Ocean View Dr, Avon, NC 27915","$1.00M","$1,000,000"
"1663000408-398","https://www.zillow.com/avon-nc/sold/","41604 Starboard Dr LOT 1111, Avon, NC 27915","https://www.zillow.com/homedetails/41604-Starboard-Dr-LOT-1111-Avon-NC-27915/2076052645_zpid/","","","","","","","10/30/2020","41604 Starboard Dr LOT 1111, Avon, NC 27915","$28,500","$28,500"
"1663000418-399","https://www.zillow.com/avon-nc/sold/","40269 Williams Rd, Avon, NC 27915","https://www.zillow.com/homedetails/40269-Williams-Rd-Avon-NC-27915/337195935_zpid/","2020","0.57 Acres","Property detailsPropertyExterior features: OtherLotLot size: 0.57 AcresOther property informationParcel number: 014705000","3","2","1,254","01/21/2021","40269 Williams Rd, Avon, NC 27915","$359,000","$359,000"
"1663000430-400","https://www.zillow.com/avon-nc/sold/","42225 Greenwood Pl, Avon, NC 27915","https://www.zillow.com/homedetails/42225-Greenwood-Pl-Avon-NC-27915/228632907_zpid/","1986","0.30 Acres","Property detailsPropertyPrivate pool: YesSpa included: YesExterior features: WoodView description: ParkLotLot size: 0.30 AcresOther property informationParcel number: 028627000","5","4","2,900","07/17/2020","42225 Greenwood Pl, Avon, NC 27915","$590,000","$590,000"
"1663000441-401","https://www.zillow.com/avon-nc/sold/","40303 Dune Way LOT 8, Avon, NC 27915","https://www.zillow.com/homedetails/40303-Dune-Way-LOT-8-Avon-NC-27915/2076054707_zpid/","","","","","","","12/09/2019","40303 Dune Way LOT 8, Avon, NC 27915","$460,000","$460,000"
"1663000459-402","https://www.zillow.com/avon-nc/sold/","42275 Greenwood Pl LOT 81, Avon, NC 27915","https://www.zillow.com/homedetails/42275-Greenwood-Pl-LOT-81-Avon-NC-27915/2076054587_zpid/","","","","","","","08/31/2020","42275 Greenwood Pl LOT 81, Avon, NC 27915","$549,000","$549,000"
"1663000473-403","https://www.zillow.com/avon-nc/sold/","40252 S Beachcomber Dr, Avon, NC 27915","https://www.zillow.com/homedetails/40252-S-Beachcomber-Dr-Avon-NC-27915/228618163_zpid/","1978","6,500 sqft","Property detailsPropertyPool features: NoneExterior features: Outdoor ShowerWaterfront features: More than 5th rowLotLot size: 6,500 sqftOther property informationParcel number: 013500000Zoning description: R1","2","3","1,061","09/30/2021","40252 S Beachcomber Dr, Avon, NC 27915","$327,000","$327,000"
"1663000483-404","https://www.zillow.com/avon-nc/sold/","40182 Bonito Rd, Avon, NC 27915","https://www.zillow.com/homedetails/40182-Bonito-Rd-Avon-NC-27915/228618326_zpid/","1986","7,000 sqft","Property detailsParkingParking features: Carport, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Covered Decks, Sun DeckView description: SoundWaterfront features: NoneHas waterview: YesWaterview: SoundLotLot size: 7,000 sqftLot features: Cul-De-Sac, LevelOther property informationParcel number: 013650000Zoning description: Res","3","3","1,636","11/18/2021","40182 Bonito Rd, Avon, NC 27915","$409,900","$409,900"
"1663000494-405","https://www.zillow.com/avon-nc/sold/","0 Pony Pasture Dr, Avon, NC 27915","https://www.zillow.com/homedetails/0-Pony-Pasture-Dr-Avon-NC-27915/2085362072_zpid/","2021","3,000 sqft","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: Association Pool, AssociationExterior features: LightingPatio and porch details: Screened Porch, Sun DeckView description: Lake/River, Salt Marsh, SoundWaterfront features: None, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: Lake/River,Salt Marsh,SoundLotLot size: 3,000 sqftLot features: LevelOther property informationZoning description: Res","4","3","1,726","03/10/2022","0 Pony Pasture Dr, Avon, NC 27915","$550,000","$550,000"
"1663000505-406","https://www.zillow.com/avon-nc/sold/","40305 Dolphin Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40305-Dolphin-Ln-Avon-NC-27915/228618144_zpid/","1981","6,000 sqft","Property detailsParkingParking features: Off Street, UnpavedPropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row)Has waterview: YesWaterview: OceanLotLot size: 6,000 sqftOther property informationParcel number: 013481000Zoning description: R-1","4","2","1,205","06/18/2021","40305 Dolphin Ln, Avon, NC 27915","$439,000","$439,000"
"1663000515-407","https://www.zillow.com/avon-nc/sold/","39164 N Albacore Ln, Avon, NC 27915","https://www.zillow.com/homedetails/39164-N-Albacore-Ln-Avon-NC-27915/228618452_zpid/","1992","8,498 sqft","Property detailsParkingParking features: CarportPropertySpa included: YesExterior features: WoodLotLot size: 8,498 sqftOther property informationParcel number: 013807000","3","3","2,122","04/03/2020","39164 N Albacore Ln, Avon, NC 27915","$372,500","$372,500"
"1663000526-408","https://www.zillow.com/avon-nc/sold/","40282 S Beachcomber Dr, Avon, NC 27915","https://www.zillow.com/homedetails/40282-S-Beachcomber-Dr-Avon-NC-27915/228618170_zpid/","1977","5,501 sqft","Property detailsPropertyExterior features: WoodView description: WaterHas waterview: YesWaterview: WaterLotLot size: 5,501 sqftOther property informationParcel number: 013509000","2","1","816","06/05/2020","40282 S Beachcomber Dr, Avon, NC 27915","$212,000","$212,000"
"1663000537-409","https://www.zillow.com/avon-nc/sold/","39189 W Sunfish Ct LOT 121, Avon, NC 27915","https://www.zillow.com/homedetails/39189-W-Sunfish-Ct-LOT-121-Avon-NC-27915/2076059181_zpid/","2003","No Data","Property detailsParkingParking features: UndergroundHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Screened PorchWaterfront features: NoneOther property informationZoning description: R-1","4","3","1,876","09/14/2020","39189 W Sunfish Ct LOT 121, Avon, NC 27915","$327,000","$327,000"
"1663000549-410","https://www.zillow.com/avon-nc/sold/","41670 Starboard Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41670-Starboard-Dr-Avon-NC-27915/2069310874_zpid/","2021","No Data","Property detailsParkingParking features: CarportCarport: YesPropertyPool features: Association Pool, Outdoor Pool, AssociationExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered DecksView description: Lake/RiverWaterfront features: None, WaterfrontHas waterview: YesWaterview: Lake/RiverLotLot features: LevelOther property informationZoning description: Res","3","3","1,462","12/16/2021","41670 Starboard Dr, Avon, NC 27915","$455,000","$455,000"
