web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link,PaginationLinks,PaginationLinks-href
"1659554136-1222","https://www.zillow.com/frisco-nc/sold/","52130 State Highway 12 LOT 1R, Frisco, NC 27936","https://www.zillow.com/homedetails/52130-State-Highway-12-LOT-1R-Frisco-NC-27936/2076053427_zpid/","null","null","OtherOther factsListing Agreement: Exclusive Right To SellListing Terms: Cash,Lot LoanOwnership: Owned More than 12 MonthsRoad surface type: Paved","null","null","null","11/18/2020","52130 State Highway 12 LOT 1R, Frisco, NC 27936","$135,000","$135,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/7_p/"
"1659552156-973","https://www.zillow.com/rodanthe-nc/","24244 Ocean Dr S, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24244-Ocean-Dr-S-Rodanthe-NC-27968/228617439_zpid/","1978","10,500 sqft","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 10,500 sqftOther property informationParcel number: 012760000","3","1.5","960","10/12/2021","24244 Ocean Dr S, Rodanthe, NC 27968","$189,500","$189,500","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/2_p/"
"1659566585-2484","https://www.zillow.com/hatteras-nc/sold/","57287 Lighthouse Rd, Hatteras, NC 27948","https://www.zillow.com/homedetails/57287-Lighthouse-Rd-Hatteras-NC-27948/86672117_zpid/","1994","0.51 Acres","Property detailsParkingTotal spaces: 1Parking features: Garage - AttachedPropertyPrivate pool: YesExterior features: WoodView description: ParkLotLot size: 0.51 AcresOther property informationParcel number: 004791003","5","6","4,872","09/01/2020","57287 Lighthouse Rd, Hatteras, NC 27948","$1.10M","$1,100,000","Chevron Right","https://www.zillow.com/hatteras-nc/sold/7_p/"
"1659561320-2167","https://www.zillow.com/avon-nc/sold/","40181 Carflay Ct, Avon, NC 27915","https://www.zillow.com/homedetails/40181-Carflay-Ct-Avon-NC-27915/228619035_zpid/","1998","0.39 Acres","Property detailsPropertyExterior features: OtherLotLot size: 0.39 AcresOther property informationParcel number: 014693004","3","2.5","1,968","03/23/2022","40181 Carflay Ct, Avon, NC 27915","$450,000","$450,000","Chevron Right","https://www.zillow.com/avon-nc/sold/2_p/"
"1659566988-2646","https://www.zillow.com/hatteras-nc/sold/","56657 State Highway 12, Hatteras, NC 27943","https://www.zillow.com/homedetails/56657-State-Highway-12-Hatteras-NC-27943/2078577068_zpid/","2019","No Data","Property detailsParkingParking features: Carport, UndergroundHas garage: YesCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Concrete, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Patio, Sun DeckFencing: FencedView description: OceanWaterfront features: Ocean Front, Beach Front, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot features: Level, Landscaped, Lawn SprinklersOther property informationZoning description: res","1","11","4,309","10/01/2021","56657 State Highway 12, Hatteras, NC 27943","$2.39M","$2,387,500","Chevron Right","https://www.zillow.com/hatteras-nc/sold/3_p/"
"1659554285-1279","https://www.zillow.com/frisco-nc/sold/","50331 Snug Harbor Dr, Buxton, NC 27936","https://www.zillow.com/homedetails/50331-Snug-Harbor-Dr-Buxton-NC-27936/228617014_zpid/","1982","9,000 sqft","Property detailsPropertyExterior features: OtherLotLot size: 9,000 sqftOther property informationParcel number: 011943000","3","1","1,050","03/01/2021","50331 Snug Harbor Dr, Buxton, NC 27936","$310,000","$310,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/5_p/"
"1659560604-1902","https://www.zillow.com/avon-nc/sold/","41562 Ocean View Dr LOT 16, Avon, NC 27915","https://www.zillow.com/homedetails/41562-Ocean-View-Dr-LOT-16-Avon-NC-27915/2076056800_zpid/","1987","0.37 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: Association Pool, AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachResidential vegetation: WoodedHas waterview: YesWaterview: OceanLotLot size: 0.37 AcresLot features: LevelOther property informationZoning description: Res","4","4","2,089","11/13/2020","41562 Ocean View Dr LOT 16, Avon, NC 27915","$369,000","$369,000","Chevron Right","https://www.zillow.com/avon-nc/sold/11_p/"
"1659554218-1253","https://www.zillow.com/frisco-nc/sold/","52054 Gondyke Way LOT 5, Frisco, NC 27936","https://www.zillow.com/homedetails/52054-Gondyke-Way-LOT-5-Frisco-NC-27936/2076500741_zpid/","1999","10,500 sqft","Property detailsParkingParking features: No Garage, Off Street, UnpavedPropertyPool features: NoneExterior features: LightingPatio and porch details: Sun DeckWaterfront features: NoneLotLot size: 10,500 sqftLot features: Cul-De-Sac, LevelOther property informationZoning description: Res","3","2","1,560","01/08/2021","52054 Gondyke Way LOT 5, Frisco, NC 27936","$200,000","$200,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/6_p/"
"1659554431-1334","https://www.zillow.com/frisco-nc/sold/","51191 Central Dr, Frisco, NC 27936","https://www.zillow.com/homedetails/51191-Central-Dr-Frisco-NC-27936/2067231521_zpid/","1960","null","Property detailsParkingParking features: Off Street, UnpavedPropertyPool features: NoneView description: Canal, Sound, Salt MarshWaterfront features: NoneFrontage length: Roadfront: 136Has waterview: YesWaterview: Canal,Sound,Salt MarshLotLot size: 0.85 AcresOther property informationZoning description: S-1","6","6","2,250","07/23/2021","51191 Central Dr, Frisco, NC 27936","$300,000","$300,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/4_p/"
"1659554185-1241","https://www.zillow.com/frisco-nc/sold/","53261 Runboat Cir, Frisco, NC 27936","https://www.zillow.com/homedetails/53261-Runboat-Cir-Frisco-NC-27936/303960540_zpid/","2006","8,500 sqft","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 8,500 sqftOther property informationParcel number: 029645011","4","3.5","2,634","12/22/2020","53261 Runboat Cir, Frisco, NC 27936","$625,000","$625,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/6_p/"
