StreetAddress,ListingLink-href,YearBuilt,LotSize,Bedrooms,Bathrooms,Size,DateSold,Price,City,Zip,PropertyDetails,PrivatePool,OceanFront,SoundFront,CanalFront,BeachAccess,WaterView,LotsFromOceanFront,MonthsSold
57179 Islington Ct,https://www.zillow.com/homedetails/57179-Islington-Ct-Hatteras-NC-27943/86654063_zpid/,1997,1.72,3.0,3.0,3320.0,2020-10-06,610000.0,Hatteras,27943,"Property detailsParkingTotal spaces: 2Parking features: Garage Door Opener, 2 Car, Attached, PavedGarage spaces: 2PropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Covered Decks, Screened Porch, Sun Deck, Roof Top DeckView description: Canal, Creek/Stream, Ocean, Salt Marsh, SoundWaterfront features: Canal Front, WaterfrontHas waterview: YesWaterview: Canal,Creek/Stream,Ocean,Salt Marsh,SoundLotLot size: 1.72 AcresLot features: Level, LandscapedOther property informationParcel number: 015441003Zoning description: R-2H",0,0,0,1,0,1,0,23.223830387788023
57179 M V Australia Ln,https://www.zillow.com/homedetails/57179-M-V-Australia-Ln-Hatteras-NC-27943/228619981_zpid/,1988,0.0,3.0,2.0,1667.0,2021-06-25,325000.0,Hatteras,27943,"Property detailsParkingTotal spaces: 1Parking features: 1 Car, Attached, Off Street, Parking LotGarage spaces: 1PropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: Lighting, Dry EntryPatio and porch details: Covered DecksView description: Canal, SoundWaterfront features: Soundfront, Bulkheaded, WaterfrontHas waterview: YesWaterview: Canal,SoundLotLot features: Level, LandscapedOther property informationParcel number: 015422999Attached to another structure: YesZoning description: RES",0,0,1,0,0,1,0,14.615850757816155
57179 M V Australia Ln #101,https://www.zillow.com/homedetails/57179-M-V-Australia-Ln-101-Hatteras-NC-27943/228619976_zpid/,1988,0.0,3.0,2.0,1667.0,2021-06-25,325000.0,Hatteras,27943,Property detailsParkingParking features: Garage - AttachedPropertyExterior features: WoodOther property informationParcel number: 015422101,0,0,0,0,0,0,0,14.615850757816155
57182 Peerless,https://www.zillow.com/homedetails/57182-Peerless-Hatteras-NC-27943/86654116_zpid/,1976,0.1721763085399449,4.0,3.0,2576.0,2021-05-17,285000.0,Hatteras,27943,"Property detailsPropertyExterior features: OtherLotLot size: 7,500 sqftOther property informationParcel number: 015515000",0,0,0,0,0,0,0,15.897191237086776
57184 Altona Ln,https://www.zillow.com/homedetails/57184-Altona-Ln-Hatteras-NC-27943/86654128_zpid/,2006,0.73,4.0,5.0,3781.0,2020-09-18,750000.0,Hatteras,27943,"Property detailsPropertyExterior features: Cement / ConcreteLotLot size: 0.73 AcresOther property informationParcel number: 015523000, Property detailsParkingParking features: No Garage, Off Street, Paved, Underground, UnpavedHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: Lighting, Outdoor Shower, DockView description: Canal, Creek/Stream, Harbor, Salt Marsh, SoundWaterfront features: Canal Front, Bulkheaded, WaterfrontResidential vegetation: WoodedHas waterview: YesWaterview: Canal,Creek/Stream,Harbor,Salt Marsh,SoundOther property informationZoning description: RES",0,0,0,1,0,1,0,23.81521830129754
57184 Kohler Dr,https://www.zillow.com/homedetails/57184-Kohler-Dr-Hatteras-NC-27943/228620030_zpid/,1982,0.17219926538108357,3.0,2.0,1008.0,2021-03-01,240000.0,Hatteras,27943,"Property detailsParkingParking features: Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Sun DeckWaterfront features: NoneLotLot size: 7,500 sqftLot features: LevelOther property informationParcel number: 015507000Zoning description: Res, Property detailsLotLot size: 7,501 sqft",0,0,0,0,0,0,0,18.427017311544155
57187 Blue Marlin Way,https://www.zillow.com/homedetails/57187-Blue-Marlin-Way-Hatteras-NC-27943/86654174_zpid/,1989,0.17297979797979798,3.0,3.0,1688.0,2021-05-06,325000.0,Hatteras,27943,"Property detailsPropertyExterior features: WoodLotLot size: 7,535 sqftOther property informationParcel number: 015506000",0,0,0,0,0,0,0,16.25859496200926
57187 Water Oak Ln,https://www.zillow.com/homedetails/57187-Water-Oak-Ln-Hatteras-NC-27943/228619993_zpid/,1945,0.47,3.0,3.0,1793.0,2020-07-31,317000.0,Hatteras,27943,Property detailsPropertyExterior features: OtherLotLot size: 0.47 AcresOther property informationParcel number: 015440000,0,0,0,0,0,0,0,25.42510762140678
57190 Pricilla Curve Rd,https://www.zillow.com/homedetails/57190-Pricilla-Curve-Rd-Hatteras-NC-27943/86654169_zpid/,1950,0.13774104683195593,2.0,1.0,826.0,2021-05-24,237500.0,Hatteras,27943,"Property detailsParkingParking features: Off Street, PavedPropertyPool features: NoneWaterfront features: NoneLotLot size: 6,000 sqftLot size dimensions: 6000Lot features: LevelOther property informationParcel number: 015563000Zoning description: res",0,0,0,0,0,0,0,15.66720704849974
57192 Peerless,https://www.zillow.com/homedetails/57192-Peerless-Hatteras-NC-27943/86654113_zpid/,1979,0.1721763085399449,3.0,2.0,960.0,2021-10-13,316000.0,Hatteras,27943,"Property detailsPropertyExterior features: OtherLotLot size: 7,500 sqftOther property informationParcel number: 015512000",0,0,0,0,0,0,0,11.001813508591324
