,Price,ModelPrice,ModelDelta,Bedrooms,OceanFront,Size,BeachAccess,ListingLink-href
80,450000.0,386386.09277973545,63613.90722026455,3.0,0,1352.0,1,https://www.zillow.com/homedetails/54213-Shoresurf-Ln-Frisco-NC-27936/228619884_zpid/
81,624900.0,466509.074414177,158390.92558582302,4.0,0,2152.0,1,https://www.zillow.com/homedetails/54225-Shoresurf-Ln-Frisco-NC-27936/228619887_zpid/
82,397000.0,297868.261204388,99131.73879561201,3.0,0,1352.0,0,https://www.zillow.com/homedetails/54393-State-Highway-12-Frisco-NC-27936/86653911_zpid/
83,749000.0,423638.9290371308,325361.0709628692,4.0,0,2100.0,0,https://www.zillow.com/homedetails/56186-Lonesome-Valley-Rd-Hatteras-NC-27943/86654611_zpid/
84,425000.0,350362.5279643422,74637.47203565779,2.0,0,1232.0,1,https://www.zillow.com/homedetails/56189-Pamlico-Dr-Hatteras-NC-27943/228620545_zpid/
85,999000.0,566511.6680160892,432488.33198391076,4.0,0,2533.0,1,https://www.zillow.com/homedetails/56192-Austin-Rd-Hatteras-NC-27943/228620431_zpid/
86,989000.0,728690.1026684329,260309.89733156713,4.0,0,2925.0,1,https://www.zillow.com/homedetails/56346-State-Highway-12-Hatteras-NC-27943/249918935_zpid/
87,3195000.0,1596885.574938361,1598114.425061639,1.0,1,4998.0,0,https://www.zillow.com/homedetails/56743-State-Highway-12-Hatteras-NC-27943/2062421965_zpid/
88,1895000.0,968384.7055245687,926615.2944754313,5.0,1,3538.0,1,https://www.zillow.com/homedetails/57210-Summerplace-Dr-Hatteras-NC-27943/86655278_zpid/
89,1699000.0,1025893.8718987298,673106.1281012702,5.0,1,3569.0,1,https://www.zillow.com/homedetails/57214-Summerplace-Dr-Hatteras-NC-27943/228620489_zpid/
90,725000.0,448494.7684978378,276505.2315021622,3.0,0,2406.0,0,https://www.zillow.com/homedetails/57217-Odens-Ln-Hatteras-NC-27943/228620018_zpid/
91,447975.0,272716.2068555766,175258.7931444234,3.0,0,1176.0,0,https://www.zillow.com/homedetails/57219-Island-Club-Ln-Hatteras-NC-27943/86654507_zpid/
92,350000.0,242276.64862926368,107723.35137073632,4.0,0,1255.0,0,https://www.zillow.com/homedetails/57310-Eagle-Pass-Rd-Hatteras-NC-27943/228620157_zpid/
93,375000.0,373719.0223437157,1280.977656284289,2.0,0,1272.0,0,https://www.zillow.com/homedetails/57444-State-Highway-12-Hatteras-NC-27943/2067676990_zpid/
94,670000.0,612252.9280999678,57747.07190003223,4.0,0,2429.0,1,https://www.zillow.com/homedetails/58203-Dunes-Dr-Hatteras-NC-27943/228621432_zpid/
95,889000.0,740551.5828442927,148448.41715570726,4.0,0,3008.0,1,https://www.zillow.com/homedetails/58210-Sutton-Pl-Hatteras-NC-27943/228620350_zpid/
96,749000.0,639548.6234444164,109451.37655558356,4.0,0,2620.0,1,https://www.zillow.com/homedetails/58219-Empire-Gem-Ln-Hatteras-NC-27943/249914159_zpid/
97,400000.0,327791.24802720733,72208.75197279267,6.0,0,1908.0,0,https://www.zillow.com/homedetails/58457-State-Highway-12-Hatteras-NC-27943/86654315_zpid/
